molecule_chembl_id,standard_value,standard_units
CHEMBL1202477,90.0,nM
CHEMBL1744347,75.0,nM
CHEMBL26641,80.0,nM
CHEMBL2448066,70.0,nM
CHEMBL1202478,90.0,nM
CHEMBL607707,80.0,nM
CHEMBL126384,5.4,nM
CHEMBL129509,9.3,nM
CHEMBL126137,40.0,nM
CHEMBL128987,3.2,nM
CHEMBL128987,36.0,nM
CHEMBL435993,9.2,nM
CHEMBL340898,3.5,nM
CHEMBL338215,5.4,nM
CHEMBL340484,4.9,nM
CHEMBL127058,1.2,nM
CHEMBL128467,1.4,nM
CHEMBL340700,3.2,nM
CHEMBL338114,0.91,nM
CHEMBL341319,2.6,nM
CHEMBL340508,7.1,nM
CHEMBL29197,70.0,nM
CHEMBL285063,2.0,nM
CHEMBL127041,0.24,nM
CHEMBL126791,0.51,nM
CHEMBL54400,0.13,nM
CHEMBL54400,16.0,nM
CHEMBL128468,0.28,nM
CHEMBL341522,5.6,nM
CHEMBL339416,0.74,nM
CHEMBL92812,4.0,nM
CHEMBL129825,7.4,nM
CHEMBL420624,0.1,nM
CHEMBL129579,4.8,nM
CHEMBL126893,8.8,nM
CHEMBL127082,1.4,nM
CHEMBL128759,12.0,nM
CHEMBL126372,0.92,nM
CHEMBL116853,90.0,nM
CHEMBL53428,0.09,nM
CHEMBL53428,14.0,nM
CHEMBL125568,14.0,nM
CHEMBL129824,8.4,nM
CHEMBL128432,45.0,nM
CHEMBL94061,11.0,nM
CHEMBL340399,7.2,nM
CHEMBL52076,10.0,nM
CHEMBL127611,3.2,nM
CHEMBL126623,1.9,nM
CHEMBL126623,8.1,nM
CHEMBL126903,16.0,nM
CHEMBL127086,0.61,nM
CHEMBL338175,1.5,nM
CHEMBL153525,1.24,nM
CHEMBL152905,0.27,nM
CHEMBL152905,86.0,nM
CHEMBL95692,10.0,nM
CHEMBL29197,0.025,nM
CHEMBL544867,11.0,nM
CHEMBL542755,20.0,nM
CHEMBL53753,0.008,nM
CHEMBL153206,1.2,nM
CHEMBL153206,13.0,nM
CHEMBL346846,80.0,nM
CHEMBL153739,19.8,nM
CHEMBL553351,12.3,nM
CHEMBL98798,70.0,nM
CHEMBL423224,31.0,nM
CHEMBL347282,47.0,nM
CHEMBL346863,40.0,nM
CHEMBL415738,1.0,nM
CHEMBL329672,23.0,nM
CHEMBL29197,4.0,nM
CHEMBL169390,80.0,nM
CHEMBL40734,0.39,nM
CHEMBL153170,29.0,nM
CHEMBL355982,35.0,nM
CHEMBL544868,58.0,nM
CHEMBL97162,83.0,nM
CHEMBL345294,11.0,nM
CHEMBL155278,2.1,nM
CHEMBL155278,98.0,nM
CHEMBL539822,0.47,nM
CHEMBL356850,1.8,nM
CHEMBL357367,9.4,nM
CHEMBL151593,2.7,nM
CHEMBL153573,1.0,nM
CHEMBL153573,42.0,nM
CHEMBL357570,7.9,nM
CHEMBL357570,85.0,nM
CHEMBL6195771,72.0,nM
CHEMBL6195771,93.0,nM
CHEMBL358934,1.1,nM
CHEMBL358934,33.0,nM
CHEMBL540590,48.0,nM
CHEMBL66031,0.008,nM
CHEMBL39337,0.44,nM
CHEMBL555921,12.6,nM
